input:input:Bucket Sort: A total of 100 groups, data volume: 505000
74 group,  Data volume: 7400 0.926 ms  Data Accept.       Accuracy: 100.000%.
75 group,  Data volume: 7500 1.857 ms  Data Accept.       Accuracy: 100.000%.
76 group,  Data volume: 7600 1.243 ms  Data Accept.       Accuracy: 100.000%.
77 group,  Data volume: 7700 1.438 ms  Data Accept.       Accuracy: 100.000%.
78 group,  Data volume: 7800 1.038 ms  Data Accept.       Accuracy: 100.000%.
79 group,  Data volume: 7900 0.998 ms  Data Accept.       Accuracy: 100.000%.
80 group,  Data volume: 8000 0.984 ms  Data Accept.       Accuracy: 100.000%.
81 group,  Data volume: 8100 1.401 ms  Data Accept.       Accuracy: 100.000%.
82 group,  Data volume: 8200 1.403 ms  Data Accept.       Accuracy: 100.000%.
83 group,  Data volume: 8300 0.996 ms  Data Accept.       Accuracy: 100.000%.
84 group,  Data volume: 8400 1.084 ms  Data Accept.       Accuracy: 100.000%.
85 group,  Data volume: 8500 1.261 ms  Data Accept.       Accuracy: 100.000%.
86 group,  Data volume: 8600 1.013 ms  Data Accept.       Accuracy: 100.000%.
87 group,  Data volume: 8700 1.648 ms  Data Accept.       Accuracy: 100.000%.
88 group,  Data volume: 8800 1.182 ms  Data Accept.       Accuracy: 100.000%.
89 group,  Data volume: 8900 1.298 ms  Data Accept.       Accuracy: 100.000%.
90 group,  Data volume: 9000 1.091 ms  Data Accept.       Accuracy: 100.000%.
91 group,  Data volume: 9100 1.128 ms  Data Accept.       Accuracy: 100.000%.
92 group,  Data volume: 9200 1.490 ms  Data Accept.       Accuracy: 100.000%.
93 group,  Data volume: 9300 1.164 ms  Data Accept.       Accuracy: 100.000%.
94 group,  Data volume: 9400 1.136 ms  Data Accept.       Accuracy: 100.000%.
95 group,  Data volume: 9500 1.101 ms  Data Accept.       Accuracy: 100.000%.
96 group,  Data volume: 9600 1.203 ms  Data Accept.       Accuracy: 100.000%.
97 group,  Data volume: 9700 1.193 ms  Data Accept.       Accuracy: 100.000%.
98 group,  Data volume: 9800 1.126 ms  Data Accept.       Accuracy: 100.000%.
99 group,  Data volume: 9900 1.974 ms  Data Accept.       Accuracy: 100.000%.
100 group,  Data volume: 10000 1.986 ms  Data Accept.       Accuracy: 100.000%.
101 group,  Data volume: 10100 1.274 ms  Data Accept.       Accuracy: 100.000%.
Bucket Sort: A total of 102 groups, data volume: 525300
2026-05-15 22:49:00
1 group,  Data volume: 100 0.185 ms  Data Accept.       Accuracy: 100.000%.
2 group,  Data volume: 200 0.160 ms  Data Accept.       Accuracy: 100.000%.
3 group,  Data volume: 300 0.208 ms  Data Accept.       Accuracy: 100.000%.
4 group,  Data volume: 400 0.179 ms  Data Accept.       Accuracy: 100.000%.
5 group,  Data volume: 500 0.187 ms  Data Accept.       Accuracy: 100.000%.
6 group,  Data volume: 600 0.235 ms  Data Accept.       Accuracy: 100.000%.
7 group,  Data volume: 700 0.283 ms  Data Accept.       Accuracy: 100.000%.
8 group,  Data volume: 800 0.486 ms  Data Accept.       Accuracy: 100.000%.
9 group,  Data volume: 900 0.268 ms  Data Accept.       Accuracy: 100.000%.
10 group,  Data volume: 1000 0.253 ms  Data Accept.       Accuracy: 100.000%.
11 group,  Data volume: 1100 0.292 ms  Data Accept.       Accuracy: 100.000%.
12 group,  Data volume: 1200 0.262 ms  Data Accept.       Accuracy: 100.000%.
13 group,  Data volume: 1300 0.278 ms  Data Accept.       Accuracy: 100.000%.
14 group,  Data volume: 1400 0.285 ms  Data Accept.       Accuracy: 100.000%.
15 group,  Data volume: 1500 0.294 ms  Data Accept.       Accuracy: 100.000%.
16 group,  Data volume: 1600 0.478 ms  Data Accept.       Accuracy: 100.000%.
17 group,  Data volume: 1700 0.315 ms  Data Accept.       Accuracy: 100.000%.
18 group,  Data volume: 1800 0.323 ms  Data Accept.       Accuracy: 100.000%.
19 group,  Data volume: 1900 0.335 ms  Data Accept.       Accuracy: 100.000%.
20 group,  Data volume: 2000 0.343 ms  Data Accept.       Accuracy: 100.000%.
21 group,  Data volume: 2100 0.357 ms  Data Accept.       Accuracy: 100.000%.
22 group,  Data volume: 2200 0.365 ms  Data Accept.       Accuracy: 100.000%.
23 group,  Data volume: 2300 0.427 ms  Data Accept.       Accuracy: 100.000%.
24 group,  Data volume: 2400 0.383 ms  Data Accept.       Accuracy: 100.000%.
25 group,  Data volume: 2500 0.401 ms  Data Accept.       Accuracy: 100.000%.
26 group,  Data volume: 2600 0.407 ms  Data Accept.       Accuracy: 100.000%.
27 group,  Data volume: 2700 0.420 ms  Data Accept.       Accuracy: 100.000%.
28 group,  Data volume: 2800 0.427 ms  Data Accept.       Accuracy: 100.000%.
29 group,  Data volume: 2900 0.439 ms  Data Accept.       Accuracy: 100.000%.
30 group,  Data volume: 3000 0.720 ms  Data Accept.       Accuracy: 100.000%.
31 group,  Data volume: 3100 0.693 ms  Data Accept.       Accuracy: 100.000%.
32 group,  Data volume: 3200 0.680 ms  Data Accept.       Accuracy: 100.000%.
33 group,  Data volume: 3300 0.513 ms  Data Accept.       Accuracy: 100.000%.
34 group,  Data volume: 3400 0.950 ms  Data Accept.       Accuracy: 100.000%.
35 group,  Data volume: 3500 0.790 ms  Data Accept.       Accuracy: 100.000%.
36 group,  Data volume: 3600 0.690 ms  Data Accept.       Accuracy: 100.000%.
37 group,  Data volume: 3700 0.620 ms  Data Accept.       Accuracy: 100.000%.
38 group,  Data volume: 3800 1.270 ms  Data Accept.       Accuracy: 100.000%.
39 group,  Data volume: 3900 0.674 ms  Data Accept.       Accuracy: 100.000%.
40 group,  Data volume: 4000 0.587 ms  Data Accept.       Accuracy: 100.000%.
41 group,  Data volume: 4100 0.564 ms  Data Accept.       Accuracy: 100.000%.
42 group,  Data volume: 4200 0.572 ms  Data Accept.       Accuracy: 100.000%.
43 group,  Data volume: 4300 0.632 ms  Data Accept.       Accuracy: 100.000%.
44 group,  Data volume: 4400 0.635 ms  Data Accept.       Accuracy: 100.000%.
45 group,  Data volume: 4500 0.630 ms  Data Accept.       Accuracy: 100.000%.
46 group,  Data volume: 4600 0.662 ms  Data Accept.       Accuracy: 100.000%.
